decade,nhgisnam,nhgisst,nhgiscty,icpsrst,icpsrcty,icpsrnam,statenam,icpsrsti,icpsrctyi,icpsrfip,state,county,gisjoin,gisjoin2,shape_area,shape_len,cnty_area_1990,gisjoin_1990
1990,York,420,1330,14,1330,YORK,Pennsylvania,14,1330,0,420,1330,G4201330,4201330,2357546913.57,252993.95,2357546913.57,G4201330
1990,Sherman,200,1810,32,1810,SHERMAN,Kansas,32,1810,0,200,1810,G2001810,2001810,2735057979.29,209726.25,2735057979.29,G2001810
1990,Onslow,370,1330,47,1330,ONSLOW,North Carolina,47,1330,0,370,1330,G3701330,3701330,1993173331.89,723453.38,1993173331.89,G3701330
1990,Gallatin,300,310,64,310,GALLATIN,Montana,64,310,0,300,310,G3000310,3000310,6559312252.46,558779.94,6559312252.46,G3000310
1990,Ocean,340,290,12,290,OCEAN,New Jersey,12,290,0,340,290,G3400290,3400290,1704201820.35,649824.38,1704201820.35,G3400290
1990,Uvalde,480,4630,49,4630,UVALDE,Texas,49,4630,0,480,4630,G4804630,4804630,4036829105.78,254728.53,4036829105.78,G4804630
1990,Bolivar,280,110,46,110,BOLIVAR,Mississippi,46,110,0,280,110,G2800110,2800110,2345929252.28,313653.22,2345929252.28,G2800110
1990,Caddo,400,150,53,150,CADDO,Oklahoma,53,150,0,400,150,G4000150,4000150,3341900408.31,252391.61,3341900408.31,G4000150
1990,Morgan,540,650,56,650,MORGAN,West Virginia,56,650,0,540,650,G5400650,5400650,594836684.47,144508.22,594836684.47,G5400650
1990,Kendall,170,930,21,930,KENDALL,Illinois,21,930,0,170,930,G1700930,1700930,835703663.216,115512.87,835703663.216,G1700930
1990,Dakota,270,370,33,370,DAKOTA,Minnesota,33,370,0,270,370,G2700370,2700370,1518576266.24,188146.39,1518576266.24,G2700370
1990,Goliad,480,1750,49,1750,GOLIAD,Texas,49,1750,0,480,1750,G4801750,4801750,2225741054.61,223660.45,2225741054.61,G4801750
1990,Miami,200,1210,32,1210,MIAMI/LYKINS,Kansas,32,1210,0,200,1210,G2001210,2001210,1528486049.04,156705.19,1528486049.04,G2001210
1990,Beauregard,220,110,45,110,BEAUREGARD,Louisiana,45,110,0,220,110,G2200110,2200110,3019945626.78,304734.94,3019945626.78,G2200110
1990,Venango,420,1210,14,1210,VENANGO,Pennsylvania,14,1210,0,420,1210,G4201210,4201210,1769011201.49,191047.34,1769011201.49,G4201210
1990,Bee,480,250,49,250,BEE,Texas,49,250,0,480,250,G4800250,4800250,2280048767.4,230194.75,2280048767.4,G4800250
1990,Lee,510,1050,40,1050,LEE,Virginia,40,1050,0,510,1050,G5101050,5101050,1132654062.04,206938.64,1132654062.04,G5101050
