gisjoin_1800,cnty_area_1800,gisjoin_2020,cnty_area_2020,cnty_part_area,cnty_part_pop_m2,cnty_part_pop_m3,cnty_part_pop_m4,cnty_pop_m2,cnty_pop_m3,cnty_pop_m4,m1_weight,m2_weight,m3_weight,m4_weight
G0900010,1673889466.31,9001,2167945188.69,.310478771363,0,0,0,38208,38208,38208,1.8548343e-10,0,0,0
G0900010,1673889466.31,9001,2167945188.69,1673778978.55,38208,38208,38208,38208,38208,38208,.99993402,1,1,1
G0900010,1673889466.31,9005,2446473536.04,9098.28446563,0,0,0,38208,38208,38208,5.4354155e-06,0,0,0
G0900010,1673889466.31,9009,2232747846.59,17576.040937,0,0,0,38208,38208,38208,.00001050012,0,0,0
G0900010,1673889466.31,9009,2232747846.59,.388324854086,0,0,0,38208,38208,38208,2.3198954e-10,0,0,0
G0900010,1673889466.31,36027,2137634705.04,1145.47979378,0,0,0,38208,38208,38208,6.8432223e-07,0,0,0
G0900010,1673889466.31,36079,637450333.517,10484.9065275,0,0,0,38208,38208,38208,6.2637987e-06,0,0,0
G0900010,1673889466.31,36119,1295206187.06,72183.64235540001,0,0,0,38208,38208,38208,.000043123302,0,0,0
G0900030,1922173335.76,9003,1944087722.5,2.20474284295,0,0,0,42147,42146.996,42147,1.1470053e-09,0,0,0
G0900030,1922173335.76,9003,1944087722.5,1886049822.68,41360.402,41419.809,41470.691,42147,42146.996,42147,.98120695,.98133683,.98274642,.9839536
G0900030,1922173335.76,9005,2446473536.04,34972.4586878,0,0,0,42147,42146.996,42147,.000018194227,0,0,0
G0900030,1922173335.76,9007,1137173043.29,7947.18666213,0,0,0,42147,42146.996,42147,4.1344797e-06,0,0,0
G0900030,1922173335.76,9009,2232747846.59,97318.5430549,0,0,0,42147,42146.996,42147,.000050629431,0,0,0
G0900030,1922173335.76,9013,1080357182.73,17551937.9902,383.21463,353.20493,356.91006,42147,42146.996,42147,.0091312984,.0090923347,.0083803106,.00846822
G0900030,1922173335.76,9013,1080357182.73,.0267844579344,0,0,0,42147,42146.996,42147,1.3934466e-11,0,0,0
G0900030,1922173335.76,25013,1642446420.35,18431339.7654,403.38382,373.98169,319.40048,42147,42146.996,42147,.0095888022,.0095708789,.0088732699,.0075782496
G0900050,2566856340.26,9001,2167945188.69,28036.5682087,16.042818,16.531889,59.454781,41214,41214,41214,.000010922531,.00038925651,.00040112314,.001442587
G0900050,2566856340.26,9003,1944087722.5,11089960.3629,192.51382,198.38266,194.43706,41214,41214,41214,.0043204445,.0046710782,.0048134774,.004717743
G0900050,2566856340.26,9005,2446473536.04,2446197276.69,39256.777,39230.172,37162.102,41214,41214,41214,.95299345,.95251071,.9518652,.90168637
G0900050,2566856340.26,9005,2446473536.04,.15442670577,0,0,0,41214,41214,41214,6.0161806e-11,0,0,0
G0900050,2566856340.26,9009,2232747846.59,.0157743465292,0,0,0,41214,41214,41214,6.1453950e-12,0,0,0
G0900050,2566856340.26,9009,2232747846.59,109465201.135,1748.6671,1768.9121,3798.0078,41214,41214,41214,.042645629,.042428959,.042920176,.092153341
G0900050,2566856340.26,25003,2451293994.51,58955.3758833,0,0,0,41214,41214,41214,.00002296793,0,0,0
G0900050,2566856340.26,25013,1642446420.35,15817.2979236,0,0,0,41214,41214,41214,6.1621281e-06,0,0,0
G0900050,2566856340.26,36027,2137634705.04,1094.63154013,0,0,0,41214,41214,41214,4.2644831e-07,0,0,0
G0900070,992406269.326,9003,1944087722.5,36779.3579863,0,0,0,19847.002,19846.998,19847,.000037060789,0,0,0
G0900070,992406269.326,9007,1137173043.29,992157742.339,19847.002,19846.998,19847,19847.002,19846.998,19847,.9997496,1,1,1
G0900070,992406269.326,9009,2232747846.59,206618.139891,0,0,0,19847.002,19846.998,19847,.00020819916,0,0,0
G0900070,992406269.326,9011,1999374588.73,5129.06163032,0,0,0,19847.002,19846.998,19847,5.1683082e-06,0,0,0
G0900090,1494380916.75,9001,2167945188.69,55028.5181603,0,0,0,32161.998,32162.002,32161.998,.000036823621,0,0,0
G0900090,1494380916.75,9001,2167945188.69,.310478771363,0,0,0,32161.998,32162.002,32161.998,2.0776414e-10,0,0,0
G0900090,1494380916.75,9003,1944087722.5,15440.9468276,0,0,0,32161.998,32162.002,32161.998,.000010332671,0,0,0
G0900090,1494380916.75,9005,2446473536.04,68489.5046014,0,0,0,32161.998,32162.002,32161.998,.000045831355,0,0,0
G0900090,1494380916.75,9005,2446473536.04,.15442670577,0,0,0,32161.998,32162.002,32161.998,1.0333825e-10,0,0,0
G0900090,1494380916.75,9007,1137173043.29,94438.853045,0,0,0,32161.998,32162.002,32161.998,.00006319597,0,0,0
G0900090,1494380916.75,9009,2232747846.59,1494147521.19,32161.998,32162.002,32161.998,32161.998,32162.002,32161.998,.99984384,1,1,1
G0900090,1494380916.75,9009,2232747846.59,.0157743465292,0,0,0,32161.998,32162.002,32161.998,1.0555773e-11,0,0,0
G0900090,1494380916.75,9009,2232747846.59,.388324854086,0,0,0,32161.998,32162.002,32161.998,2.5985666e-10,0,0,0
G0900110,1557319128.1,9003,1944087722.5,35125209.7621,672.69232,685.54346,415.90158,34883,34883,34883,.022554921,.019284245,.019652652,.011922758
G0900110,1557319128.1,9007,1137173043.29,137180.749956,0,0,0,34883,34883,34883,.000088087756,0,0,0
G0900110,1557319128.1,9011,1999374588.73,1521812259.26,34210.309,34197.457,34467.098,34883,34883,34883,.97720003,.98071575,.98034734,.98807722
G0900110,1557319128.1,9013,1080357182.73,121243.798707,0,0,0,34883,34883,34883,.00007785418,0,0,0
G0900110,1557319128.1,9015,1349956508.73,9012.572006189999,0,0,0,34883,34883,34883,5.7872353e-06,0,0,0
G0900110,1557319128.1,44009,1457597808.85,114222.627114,0,0,0,34883,34883,34883,.000073345676,0,0,0
G0900130,893103845.358,9003,1944087722.5,2.20474284295,0,0,0,14319,14319,14318.999,2.4686300e-09,0,0,0
