statefp,countyfp,countyns,geoid,name,namelsad,lsad,classfp,mtfcc,csafp,cbsafp,metdivfp,funcstat,aland,awater,decade,gisjoin_2020
31,39,835841,31039,Cuming,Cuming County,6,H1,G4020,,,,A,1477645345,10690204,2020,31039
53,69,1513275,53069,Wahkiakum,Wahkiakum County,6,H1,G4020,,,,A,680976231,61568965,2020,53069
35,11,933054,35011,De Baca,De Baca County,6,H1,G4020,,,,A,6016818946,29090018,2020,35011
31,109,835876,31109,Lancaster,Lancaster County,6,H1,G4020,339,30700,,A,2169272970,22847034,2020,31109
31,129,835886,31129,Nuckolls,Nuckolls County,6,H1,G4020,,,,A,1489645188,1718484,2020,31129
72,85,1804523,72085,Las Piedras,Las Piedras Municipio,13,H1,G4020,490,41980,,A,87748418,32509,2020,72085
46,99,1265772,46099,Minnehaha,Minnehaha County,6,H1,G4020,,43620,,A,2089701439,18188795,2020,46099
48,327,1383949,48327,Menard,Menard County,6,H1,G4020,,,,A,2336237980,613559,2020,48327
6,91,277310,6091,Sierra,Sierra County,6,H1,G4020,,,,A,2468694582,23299110,2020,6091
21,53,516873,21053,Clinton,Clinton County,6,H1,G4020,,,,A,510875757,21152699,2020,21053
39,63,1074044,39063,Hancock,Hancock County,6,H1,G4020,534,22300,,A,1376124980,6021322,2020,39063
48,189,1383880,48189,Hale,Hale County,6,H1,G4020,352,38380,,A,2602109423,246678,2020,48189
1,27,161539,1027,Clay,Clay County,6,H1,G4020,,,,A,1564255426,5281616,2020,1027
48,11,1383791,48011,Armstrong,Armstrong County,6,H1,G4020,108,11100,,A,2354617585,12183672,2020,48011
39,3,1074015,39003,Allen,Allen County,6,H1,G4020,338,30620,,A,1042587389,11152061,2020,39003
13,189,348794,13189,McDuffie,McDuffie County,6,H1,G4020,,12260,,A,666590014,23114032,2020,13189
55,111,1581115,55111,Sauk,Sauk County,6,H1,G4020,357,12660,,A,2153686013,45692969,2020,55111
5,137,69902,5137,Stone,Stone County,6,H1,G4020,,,,A,1570673294,8145444,2020,5137
