fips_from,fips_to,year_from,year_to,weight,change_type,notes,weight_source
01049,01049,1970,2023,1,name_correction,"De Kalb County -> DeKalb County, AL",identity
02105,02195,2013,2023,0.15,borough_creation,Part of Hoonah-Angoon → Petersburg Borough,census_pop
02195,02195,2008,2012,1,stable,Petersburg Census Area,identity
02195,02195,2013,2023,0.85,borough_creation,Petersburg Census Area → Petersburg Borough,census_pop
02201,02201,1990,2007,1,stable,Prince of Wales-Outer Ketchikan Census Area,identity
02201,02198,2008,2023,0.85,rename,Prince of Wales-Outer Ketchikan → Prince of Wales-Hyder,area_prop
02201,02130,2008,2023,0.1,merger,Part to Ketchikan Gateway Borough (Outer Ketchikan),area_prop
02201,02275,2008,2023,0.05,merger,Part to Wrangell (Meyers Chuck area),area_prop
02232,02232,1990,2006,1,stable,Skagway-Hoonah-Angoon Census Area,identity
02232,02230,2007,2023,0.25,split,Skagway-Hoonah-Angoon → Skagway Municipality,census_pop
02232,02105,2007,2023,0.75,split,Skagway-Hoonah-Angoon → Hoonah-Angoon Census Area,census_pop
02261,02261,1990,2018,1,stable,Valdez-Cordova Census Area,identity
02261,02063,2019,2023,0.6,split,Valdez-Cordova → Chugach Census Area,census_pop
02261,02066,2019,2023,0.4,split,Valdez-Cordova → Copper River Census Area,census_pop
02270,02270,1990,2014,1,stable,Wade Hampton Census Area,identity
02270,02158,2015,2023,1,rename,Wade Hampton → Kusilvak Census Area,identity
02280,02280,1990,2007,1,stable,Wrangell-Petersburg Census Area,identity
02280,02275,2008,2023,0.35,split,Wrangell-Petersburg → Wrangell City and Borough,census_pop
02280,02195,2008,2023,0.65,split,Wrangell-Petersburg → Petersburg Census Area,census_pop
08001,08001,1990,2000,1,stable,Adams County,identity
08001,08014,2001,2023,0.35,split,Parts of Adams County to Broomfield,doc_transfer
08001,08001,2001,2023,0.65,remainder,Adams County (remaining),doc_transfer
08013,08013,1990,2000,1,stable,Boulder County,identity
08013,08014,2001,2023,0.4,split,Parts of Boulder County to Broomfield,doc_transfer
08013,08013,2001,2023,0.6,remainder,Boulder County (remaining),doc_transfer
