GISJOIN,STATE,STATEFP,STATENH,COUNTY,COUNTYFP,COUNTYNH,A00AA1970,A00AA1980,A00AA1990,A00AA2000,A00AA2010,A00AA2020
"G0100010","Alabama","01","010","Autauga County","001","0010",24460,32259,34222,43671,54571,58805
"G0100030","Alabama","01","010","Baldwin County","003","0030",59382,78556,98280,140415,182265,231767
"G0100050","Alabama","01","010","Barbour County","005","0050",22543,24756,25417,29038,27457,25223
"G0100070","Alabama","01","010","Bibb County","007","0070",13812,15723,16576,20826,22915,22293
"G0100090","Alabama","01","010","Blount County","009","0090",26853,36459,39248,51024,57322,59134
"G0100110","Alabama","01","010","Bullock County","011","0110",11824,10596,11042,11714,10914,10357
"G0100130","Alabama","01","010","Butler County","013","0130",22007,21680,21892,21399,20947,19051
"G0100150","Alabama","01","010","Calhoun County","015","0150",103092,119761,116034,112249,118572,116441
"G0100170","Alabama","01","010","Chambers County","017","0170",36356,39191,36876,36583,34215,34772
"G0100190","Alabama","01","010","Cherokee County","019","0190",15606,18760,19543,23988,25989,24971
"G0100210","Alabama","01","010","Chilton County","021","0210",25180,30612,32458,39593,43643,45014
"G0100230","Alabama","01","010","Choctaw County","023","0230",16589,16839,16018,15922,13859,12665
"G0100250","Alabama","01","010","Clarke County","025","0250",26724,27702,27240,27867,25833,23087
"G0100270","Alabama","01","010","Clay County","027","0270",12636,13703,13252,14254,13932,14236
"G0100290","Alabama","01","010","Cleburne County","029","0290",10996,12595,12730,14123,14972,15056
"G0100310","Alabama","01","010","Coffee County","031","0310",34872,38533,40240,43615,49948,53465
"G0100330","Alabama","01","010","Colbert County","033","0330",49632,54519,51666,54984,54428,57227
"G0100350","Alabama","01","010","Conecuh County","035","0350",15645,15884,14054,14089,13228,11597
"G0100370","Alabama","01","010","Coosa County","037","0370",10662,11377,11063,12202,11539,10387
"G0100390","Alabama","01","010","Covington County","039","0390",34079,36850,36478,37631,37765,37570
"G0100410","Alabama","01","010","Crenshaw County","041","0410",13188,14110,13635,13665,13906,13194
"G0100430","Alabama","01","010","Cullman County","043","0430",52445,61642,67613,77483,80406,87866
"G0100450","Alabama","01","010","Dale County","045","0450",52938,47821,49633,49129,50251,49326
"G0100470","Alabama","01","010","Dallas County","047","0470",55296,53981,48130,46365,43820,38462
"G0100490","Alabama","01","010","DeKalb County","049","0490",41981,53658,54651,64452,71109,71608
"G0100510","Alabama","01","010","Elmore County","051","0510",33535,43390,49210,65874,79303,87977
"G0100530","Alabama","01","010","Escambia County","053","0530",34906,38440,35518,38440,38319,36757
"G0100550","Alabama","01","010","Etowah County","055","0550",94144,103057,99840,103459,104430,103436
"G0100570","Alabama","01","010","Fayette County","057","0570",16252,18809,17962,18495,17241,16321
"G0100590","Alabama","01","010","Franklin County","059","0590",23933,28350,27814,31223,31704,32113
"G0100610","Alabama","01","010","Geneva County","061","0610",21924,24253,23647,25764,26790,26659
"G0100630","Alabama","01","010","Greene County","063","0630",10650,11021,10153,9974,9045,7730
"G0100650","Alabama","01","010","Hale County","065","0650",15888,15604,15498,17185,15760,14785
"G0100670","Alabama","01","010","Henry County","067","0670",13254,15302,15374,16310,17302,17146
"G0100690","Alabama","01","010","Houston County","069","0690",56574,74632,81331,88787,101547,107202
"G0100710","Alabama","01","010","Jackson County","071","0710",39202,51407,47796,53926,53227,52579
"G0100730","Alabama","01","010","Jefferson County","073","0730",644991,671324,651525,662047,658466,674721
"G0100750","Alabama","01","010","Lamar County","075","0750",14335,16453,15715,15904,14564,13972
"G0100770","Alabama","01","010","Lauderdale County","077","0770",68111,80546,79661,87966,92709,93564
"G0100790","Alabama","01","010","Lawrence County","079","0790",27281,30170,31513,34803,34339,33073
"G0100810","Alabama","01","010","Lee County","081","0810",61268,76283,87146,115092,140247,174241
"G0100830","Alabama","01","010","Limestone County","083","0830",41699,46005,54135,65676,82782,103570
"G0100850","Alabama","01","010","Lowndes County","085","0850",12897,13253,12658,13473,11299,10311
"G0100870","Alabama","01","010","Macon County","087","0870",24841,26829,24928,24105,21452,19532
"G0100890","Alabama","01","010","Madison County","089","0890",186540,196966,238912,276700,334811,388153
"G0100910","Alabama","01","010","Marengo County","091","0910",23819,25047,23084,22539,21027,19323
"G0100930","Alabama","01","010","Marion County","093","0930",23788,30041,29830,31214,30776,29341
"G0100950","Alabama","01","010","Marshall County","095","0950",54211,65622,70832,82231,93019,97612
"G0100970","Alabama","01","010","Mobile County","097","0970",317308,364980,378643,399843,412992,414809
"G0100990","Alabama","01","010","Monroe County","099","0990",20883,22651,23968,24324,23068,19772
"G0101010","Alabama","01","010","Montgomery County","101","1010",167790,197038,209085,223510,229363,228954
"G0101030","Alabama","01","010","Morgan County","103","1030",77306,90231,100043,111064,119490,123421
"G0101050","Alabama","01","010","Perry County","105","1050",15388,15012,12759,11861,10591,8511
"G0101070","Alabama","01","010","Pickens County","107","1070",20326,21481,20699,20949,19746,19123
"G0101090","Alabama","01","010","Pike County","109","1090",25038,28050,27595,29605,32899,33009
"G0101110","Alabama","01","010","Randolph County","111","1110",18331,20075,19881,22380,22913,21967
"G0101130","Alabama","01","010","Russell County","113","1130",45394,47356,46860,49756,52947,59183
"G0101170","Alabama","01","010","Shelby County","117","1170",38037,66298,99358,143293,195085,223024
"G0101150","Alabama","01","010","St. Clair County","115","1150",27956,41205,50009,64742,83593,91103
"G0101190","Alabama","01","010","Sumter County","119","1190",16974,16908,16174,14798,13763,12345
"G0101210","Alabama","01","010","Talladega County","121","1210",65280,73826,74107,80321,82291,82149
"G0101230","Alabama","01","010","Tallapoosa County","123","1230",33840,38676,38826,41475,41616,41311
